"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","夜になり、汐音がやってきた。","",""
0,464,"汐音","","「お世話になりまーす」","",""
0,448,"桜花","","「いらっしゃい」","",""
0,448,"","","本当に許可とってきたよ……。","",""
0,448,"","","いくら桜花がいるとはいえ、うら若い女の子の外泊を許可する\nとは思わなかった。","いくら桜花がいるとはいえ、うら若い女の子の外泊を許可するとは思わなかった。","いくら桜花がいるとはいえ、うら若い女の子の外泊を許可するとは思わなかった。"
0,448,"道隆","","（……いや、ちょっと待て。桜花はおじさん達に存在を\n知られてないんだから、俺の所に泊まるって形なのか……？）","（……いや、ちょっと待て。桜花はおじさん達に存在を知られてないんだから、俺の所に泊まるって形なのか……？）","（……いや、ちょっと待て。桜花はおじさん達に存在を知られてないんだから、俺の所に泊まるって形なのか……？）"
0,448,"","","一体どういう説得をしたんだろうかと、頭を抱える。","",""
0,448,"桜花","","「寝る所はどうする？　道隆の部屋でいいかな？」","",""
0,448,"道隆","","「あ、それはまずい。\n違う所で」","「あ、それはまずい。違う所で」","「あ、それはまずい。違う所で」"
0,448,"桜花","","「どうしてだい？」","",""
0,448,"汐音","","「わ、わたしも別の所が……桜花さんと同じ部屋がいい！」","",""
0,448,"桜花","","「無論それは構わないけれど」","",""
0,448,"桜花","","「ま、男女の機微というやつだね。\nわかったよ」","「ま、男女の機微というやつだね。わかったよ」","「ま、男女の機微というやつだね。わかったよ」"
0,448,"","","桜花は一階の客間に向かう。","",""
0,448,"","","汐音も後をついていった。","",""
0,464,"道隆","","（ここで汐音とセックスしたんだよなぁ……）","",""
0,448,"","","殆ど一方的だったけれど、だからこそ俺も汐音もあの時の事に\nなかなか触れられない。","殆ど一方的だったけれど、だからこそ俺も汐音もあの時の事になかなか触れられない。","殆ど一方的だったけれど、だからこそ俺も汐音もあの時の事になかなか触れられない。"
0,448,"","","汐音に告白した訳だけど、今度するとしたらやり直しになる。","",""
0,448,"","","もっとちゃんとしてやりたいと思っている。","",""
0,448,"","","それは向こうも同じだろう。","",""
0,448,"汐音","","「タカちゃーん、ご飯作るよー」","",""
0,448,"道隆","","「わかった。俺も行く」","",""
0,464,"","","三人の晩飯は客間で取った。","",""
0,448,"汐音","","「やっぱり包丁の使い方覚えたいなぁ……」","",""
0,448,"道隆","","「怖いモンを無理してやる必要ないだろ？」","",""
0,448,"汐音","","「そうなんだけれどもね」","",""
