"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","日付が変わる。\n日曜日の未明、桜花と改めて外に出ていた。","日付が変わる。日曜日の未明、桜花と改めて外に出ていた。","日付が変わる。日曜日の未明、桜花と改めて外に出ていた。"
0,448,"桜花","","「例の『石』についてだけれどね、心当たりはあるかい？」","",""
0,448,"道隆","","「あったらさっさと言っているよ。\nお前の方はどうなんだ？　仮説とか」","「あったらさっさと言っているよ。お前の方はどうなんだ？　仮説とか」","「あったらさっさと言っているよ。お前の方はどうなんだ？　仮説とか」"
0,448,"桜花","","「非合法の薬の隠語という可能性はもちろんあると思ってる。\n……が、今はもう一つ別の事も考えている」","「非合法の薬の隠語という可能性はもちろんあると思ってる。……が、今はもう一つ別の事も考えている」","「非合法の薬の隠語という可能性はもちろんあると思ってる。……が、今はもう一つ別の事も考えている」"
0,448,"道隆","","「それは？」","",""
0,448,"桜花","","「文字通りの『石』だった場合だ」","",""
0,448,"道隆","","「……マジか」","",""
0,448,"桜花","","「うん。本気だ」","",""
0,464,"桜花","","「そもそもボクの存在や道隆の目があるんだから、超常的な\n石がある事も、考慮しないといけない」","「そもそもボクの存在や道隆の目があるんだから、超常的な石がある事も、考慮しないといけない」","「そもそもボクの存在や道隆の目があるんだから、超常的な石がある事も、考慮しないといけない」"
0,448,"桜花","","「実際、物語や文献などでも力を持った石という物は\nよく登場するからね。珍しい物じゃない」","「実際、物語や文献などでも力を持った石という物はよく登場するからね。珍しい物じゃない」","「実際、物語や文献などでも力を持った石という物はよく登場するからね。珍しい物じゃない」"
0,448,"道隆","","「現実世界では珍しいだろ」","",""
0,448,"桜花","","「そうかな。日本国内でも観光地にはご利益のある石が\n沢山あるみたいだよ。\nそのうちのどれか一つくらいは本物かもしれないじゃないか」","「そうかな。日本国内でも観光地にはご利益のある石が沢山あるみたいだよ。そのうちのどれか一つくらいは本物かもしれないじゃないか」","「そうかな。日本国内でも観光地にはご利益のある石が沢山あるみたいだよ。そのうちのどれか一つくらいは本物かもしれないじゃないか」"
0,448,"道隆","","「確かにそうだけど……」","",""
0,448,"","","しかし、それならそれで気になる事がある。","",""
0,448,"","","桜花の表情がすぐれない。\n……というよりも、苦々しい顔をしている。","桜花の表情がすぐれない。……というよりも、苦々しい顔をしている。","桜花の表情がすぐれない。……というよりも、苦々しい顔をしている。"
0,448,"","","俺からすると、現実的な麻薬とかそっちの方が怖い。","",""
